,train,val,test
0,slide_0,slide_85,slide_133
1,slide_1,slide_82,slide_58
2,slide_10,slide_164,slide_113
3,slide_100,slide_152,slide_25
4,slide_103,slide_223,slide_219
5,slide_104,slide_149,slide_200
6,slide_106,slide_114,slide_190
7,slide_107,slide_116,slide_165
8,slide_108,slide_97,slide_198
9,slide_109,slide_71,slide_66
10,slide_11,slide_7,slide_227
11,slide_110,slide_22,slide_111
12,slide_112,slide_46,slide_40
13,slide_115,slide_214,slide_54
14,slide_118,slide_96,slide_48
15,slide_119,slide_98,slide_122
16,slide_120,slide_90,slide_191
17,slide_123,slide_210,slide_228
18,slide_126,slide_155,slide_245
19,slide_131,slide_2,slide_12
20,slide_132,slide_221,slide_26
21,slide_134,slide_202,slide_172
22,slide_135,slide_101,slide_197
23,slide_137,slide_182,slide_102
24,slide_139,slide_129,slide_217
25,slide_14,slide_168,slide_167
26,slide_140,slide_77,slide_211
27,slide_141,slide_121,slide_232
28,slide_142,slide_156,slide_53
29,slide_143,slide_206,slide_128
30,slide_145,slide_43,slide_117
31,slide_146,slide_95,slide_19
32,slide_147,slide_39,slide_241
33,slide_148,slide_239,slide_144
34,slide_151,slide_124,slide_242
35,slide_153,slide_13,slide_229
36,slide_157,slide_246,slide_209
37,slide_158,slide_125,slide_216
38,slide_159,slide_666,slide_746
39,slide_160,slide_438,slide_388
40,slide_166,slide_542,slide_535
41,slide_173,slide_418,slide_541
42,slide_174,slide_416,slide_630
43,slide_175,slide_373,slide_421
44,slide_176,slide_433,slide_424
45,slide_177,slide_540,slide_635
46,slide_178,slide_441,slide_422
47,slide_179,slide_379,slide_372
48,slide_18,slide_538,slide_457
49,slide_180,slide_624,slide_636
50,slide_181,slide_415,slide_625
51,slide_183,slide_413,slide_437
52,slide_184,slide_436,slide_369
53,slide_185,slide_428,slide_420
54,slide_186,slide_265,slide_250
55,slide_187,slide_263,slide_259
56,slide_189,slide_251,slide_270
57,slide_192,slide_260,slide_247
58,slide_193,slide_327,slide_329
59,slide_194,slide_722,slide_675
60,slide_195,slide_723,slide_744
61,slide_196,slide_739,slide_714
62,slide_20,slide_866,slide_711
63,slide_201,slide_678,slide_734
64,slide_203,slide_716,slide_687
65,slide_204,slide_710,slide_733
66,slide_205,slide_726,slide_740
67,slide_207,slide_667,slide_736
68,slide_21,slide_860,slide_697
69,slide_213,slide_672,slide_698
70,slide_215,slide_712,slide_729
71,slide_218,slide_683,slide_717
72,slide_222,slide_854,slide_859
73,slide_225,slide_719,slide_730
74,slide_226,slide_728,slide_674
75,slide_23,slide_513,slide_508
76,slide_230,slide_574,slide_611
77,slide_231,slide_490,slide_581
78,slide_234,slide_645,slide_506
79,slide_235,slide_649,slide_510
80,slide_236,slide_650,slide_615
81,slide_24,slide_603,slide_511
82,slide_240,slide_489,slide_647
83,slide_243,slide_409,slide_589
84,slide_27,slide_639,slide_590
85,slide_28,slide_606,slide_591
86,slide_29,slide_619,slide_592
87,slide_3,slide_410,slide_593
88,slide_30,slide_483,slide_594
89,slide_31,slide_494,slide_595
90,slide_32,slide_600,slide_596
91,slide_33,slide_503,slide_597
92,slide_34,slide_643,slide_598
93,slide_36,slide_305,slide_486
94,slide_37,slide_276,slide_609
95,slide_38,slide_308,slide_568
96,slide_4,slide_296,slide_501
97,slide_42,slide_289,slide_398
98,slide_47,slide_274,slide_640
99,slide_49,slide_839,slide_488
100,slide_51,slide_874,slide_575
101,slide_52,slide_974,slide_281
102,slide_57,slide_938,slide_304
103,slide_59,slide_980,slide_278
104,slide_60,slide_818,slide_272
105,slide_61,slide_815,slide_271
106,slide_63,slide_984,slide_287
107,slide_64,slide_833,slide_811
108,slide_65,slide_942,slide_948
109,slide_68,slide_851,slide_940
110,slide_69,slide_929,slide_796
111,slide_70,slide_950,slide_921
112,slide_73,slide_931,slide_918
113,slide_74,slide_792,slide_822
114,slide_75,slide_762,slide_820
115,slide_76,slide_846,slide_768
116,slide_79,slide_996,slide_994
117,slide_8,slide_957,slide_915
118,slide_83,slide_789,slide_952
119,slide_84,slide_785,slide_947
120,slide_87,slide_901,slide_756
121,slide_88,slide_960,slide_904
122,slide_89,slide_780,slide_885
